STATION CODE|LOCATIONS|STATE|TEMP|DO|pH|CONDUCTIVITY|BOD|NITRATE_N_NITRITE_N|FECAL_COLIFORM|TOTAL_COLIFORM
153|KABBANI AT SARAGUR VILLAGE D/S, KARNaNTAKA|KARNaNTAKA|25.3|7.2|7.5|219.0|1.1|0.3|353.0|1478.0
154|KABBANI AT CAUSE WAY��SATTUR, KARNaNTAKA|KARNaNTAKA|25.8|7.2|7.9|299.0|1.4|0.3|310.0|1357.0
155|KABBANI AT WATER INTAKE OF KIADB AT NaNJANGUD,KARNaNTAKA|KARNaNTAKA|25.7|7.2|7.9|266.0|1.3|0.3|308.0|1345.0
156|KABINI AT BATHING GHAT, NaNJANaNGUD, KARNaNTAKA|KARNaNTAKA|25.7|5.5|7.7|282.0|2.3|0.3|647.0|2717.0
157|BHAVANI AT ELACHIVAZHY, KERALA|KERALA|24.7|7.4|7.7|138.0|0.7|0.2|197.0|408.0
158|BHAVANI AT PATHIRAKALIAMMAN KOIL, TAMILNaNDU|TAMILNaNDU|24.4|8.1|7.7|108.0|0.7|0.3|11667.0|37848.0
159|BHAVANI AT SIRUMUGAI,TAMILNaNDU|TAMILNaNDU|24.6|7.5|7.7|207.0|1.1|0.3|6613.0|20942.0
160|BHAVANI AT BHAVANI SAGAR, TAMILNaNDU|TAMILNaNDU|26.8|7.2|7.9|161.0|1.9|0.2|15109.0|32509.0
161|BHAVANI AT BHAVANI, TAMILNaNDU|TAMILNaNDU|27.3|6.3|8.1|555.0|1.5|0.4|15578.0|35738.0
162|BHAVANI AT D/S OF BHAVANISAGAR, SATHYAMANGALAM, ERODE, TAMILNaNDU|TAMILNaNDU|27.4|7.2|7.9|304.0|1.8|0.3|18158.0|42583.0
163|U/S OF KALINGARAYAN CANaNL (B5), ERODE, TAMILNaNDU|TAMILNaNDU|26.8|5.9|8.1|442.0|0.9|0.2|12432.0|24552.0
164|D/S OF KALINGARAYAN CANaNL (B10), ERODE, TAMILNaNDU|TAMILNaNDU|27.2|6.4|8.1|481.0|0.9|0.2|22473.0|44153.0
165|TONS RIVER, H.P|HIMACHAL PRADESH|13.2|8.9|7.1|133.0|0.3|0.3|5.0|9.0
166|ASHWANI AT U/S YASHWANT NaNGAR|HIMACHAL PRADESH|17.2|7.9|7.5|295.0|0.6|1.5|6.0|22.0
167|BATTA AT U/S PAONTA|HIMACHAL PRADESH|23.3|7.7|7.7|302.0|1.1|0.3|11.0|20.0
168|BATTA BEFORE CONFLUENCE TO YAMUNaN|HIMACHAL PRADESH|23.9|7.5|7.7|348.0|1.4|0.3|9.0|20.0
