STATION CODE,STATE,District,Lat,Lng
889,Kerala,Kannur,11.8608,75.4140
890,Kerala,Palakkad,10.7925,76.5553
891,Kerala,Kannur,11.8608,75.4140
892,Kerala,Kannur,11.8608,75.4140
893,Kerala,Kozhikode,11.2591,75.7820
894,Kerala,Kozhikode,11.2591,75.7820
895,Kerala,Thiruvananthapuram,8.4875,76.9525
896,Kerala,Kottayam,9.5800,76.5200
897,Kerala,Kottayam,9.5800,76.5200
898,Kerala,Wayanad,11.6854,76.132
899,Kerala,Kasaragod,12.4997,74.9870
900,Kerala,Kottayam,9.5800,76.5200
901,Kerala,Kasaragod,12.4997,74.9870
902,Kerala,Kasaragod,12.4997,74.9870
903,Kerala,Kasaragod,12.4997,74.9870
904,Kerala,Kasaragod,12.4997,74.9870
905,Kerala,Thiruvananthapuram,8.4875,76.9525
906,Kerala,Thiruvananthapuram,8.4875,76.9525
907,Kerala,Pathanamthitta,9.2656,76.7853
908,Kerala,Alappuzha,9.4900,76.3300
909,Kerala,Alappuzha,9.4900,76.3300
910,Kerala,Alappuzha,9.4900,76.3300
911,Kerala,Idukki,9.8500,76.9700
912,Kerala,Idukki,9.8500,76.9700
913,Kerala,Idukki,9.8500,76.9700
914,Kerala,Idukki,9.8500,76.9700
915,Kerala,Idukki,9.8500,76.9700
916,Kerala,Idukki,9.8500,76.9700
917,Kerala,Idukki,9.8500,76.9700
918,Kerala,Idukki,9.8500,76.9700
919,Kerala,Kannur,11.8608,75.4140
920,Kerala,Thrissur,10.5200,76.2100
921,Kerala,Thrissur,10.5200,76.2100
922,Kerala,Thrissur,10.5200,76.2100
923,Kerala,Kasaragod,12.4997,74.9870
924,Kerala,Kannur,11.8608,75.4140
925,Kerala,Kannur,11.8608,75.4140
926,Kerala,Kasaragod,12.4997,74.9870
927,Kerala,Kannur,11.8608,75.4140
928,Kerala,Kannur,11.8608,75.4140
929,Andhra Pradesh,Vizianagaram,18.1200,83.4200
930,Andhra Pradesh,Vizianagaram,18.1200,83.4200
931,Andhra Pradesh,Khammam,17.2500,80.1500
932,Andhra Pradesh,Khammam,17.2500,80.1500
933,Karnataka,Uttara Kannada,14.6000,74.7000
934,Karnataka,Uttara Kannada,14.6000,74.7000
935,Karnataka,Dakshina Kannada,12.8438,75.2479
936,Karnataka,Dakshina Kannada,12.8438,75.2479
937,Odisha,Balasore,21.4916,86.9150
938,Odisha,Balasore,21.4916,86.9150
939,Odisha,Koraput,18.8132,82.7126
940,Odisha,Rayagada,19.1754,83.4109
941,Odisha,Rayagada,19.1754,83.4109
942,Odisha,Rayagada,19.1754,83.4109
943,Odisha,Ganjam,19.3800,85.0700
944,Odisha,Ganjam,19.3800,85.0700
945,Odisha,Rayagada,19.1754,83.4109
946,Odisha,Rayagada,19.1754,83.4109
952,Tamil Nadu,Tirupattur,12.5000,78.6000
953,Tamil Nadu,Tirunelveli,8.7288,77.7046
954,Tamil Nadu,Tirunelveli,8.7288,77.7046
955,Tamil Nadu,Tirunelveli,8.7288,77.7046
956,Tamil Nadu,Thoothukudi,8.8100,78.1400
957,Tamil Nadu,Tirunelveli,8.7288,77.7046
958,Tamil Nadu,Tirunelveli,8.7288,77.7046
959,Tamil Nadu,Thoothukudi,8.8100,78.1400
960,Tamil Nadu,Thoothukudi,8.8100,78.1400
961,Tamil Nadu,Kallakurichi,11.7389,78.9739
962,Tamil Nadu,Tirunelveli,8.7288,77.7046
963,Tamil Nadu,Tirunelveli,8.7288,77.7046
